timestamp,total_market_cap,total_volume,btc_market_cap,alt_market_cap,alt_dominance,total_volume_pct,alt_market_cap_pct,alt_dominance_pct
2024-12-15 17:00:00,3659824134559.87,128405259040.32,2040332017548.11,1619492117011.76,44.250544765766996,2.8077753779697625,61.77105831533477,36.7170626349892
2024-12-15 18:00:00,3658327204276.07,126215406758.92,2041315412584.88,1617011791691.19,44.200851957723486,0.43103448275862066,60.3448275862069,33.83620689655172
2024-12-15 19:00:00,3656146891686.02,123286788886.24,2041909939284.7,1614236952401.32,44.151315585050796,0.21505376344086022,59.13978494623656,32.25806451612903
2024-12-15 20:00:00,3659977226876.18,122208310550.73,2043258171497.09,1616719055379.0898,44.17292663755104,0.2145922746781116,60.30042918454935,33.047210300429185
2024-12-15 21:00:00,3653111874060.03,120814439727.44,2041019238410.38,1612092635649.65,44.12929828666833,0.21413276231263384,57.601713062098504,31.905781584582442
2024-12-15 22:00:00,3626646113016.28,123042433593.22,2035320019182.62,1591326093833.6602,43.87872552886487,0.641025641025641,48.504273504273506,23.504273504273502
2024-12-15 23:00:00,3650354528918.71,125216737234.14,2043947273193.25,1606407255725.46,44.00688324926352,1.0660980810234542,53.94456289978679,28.14498933901919
2024-12-16 00:00:00,3699070084343.39,136660841482.76,2067710839352.28,1631359244991.11,44.10187446558443,6.170212765957447,69.7872340425532,31.06382978723404
2024-12-16 01:00:00,3733779836328.64,148517210365.64,2086670774148.29,1647109062180.3499,44.11371677982822,11.8895966029724,78.76857749469215,31.422505307855626
2024-12-16 02:00:00,3733768197806.39,153107743926.6,2088201883433.43,1645566314372.96,44.07253549750999,15.889830508474576,78.17796610169492,30.08474576271186
2024-12-16 03:00:00,3696344320337.44,156641030103.36,2069259590418.91,1627084729918.5298,44.01875444790795,21.56448202959831,66.8076109936575,28.752642706131077
2024-12-16 04:00:00,3686984646156.34,160210089481.47,2069505793819.89,1617478852336.4502,43.869964417201,24.894514767932492,60.337552742616026,22.9957805907173
2024-12-16 05:00:00,3691969388361.96,159270832104.68,2071414944903.46,1620554443458.5,43.89403792368663,24.210526315789473,62.526315789473685,24.63157894736842
2024-12-16 06:00:00,3703181010725.66,160368048580.26,2078635477901.54,1624545532824.12,43.86892047995733,25.42016806722689,65.54621848739495,22.899159663865547
